id,reactant_smiles,product_smiles,likelihood
0,Br.C.Cl.Cl.F.N.N,Br.C.C.C.F.N.N.O.O,0.81
1,C.C,C.C.C,0.77
2,C.C.C.C.Cl.Cl.N.N,C.Cl.F.O,0.85
3,Br.C.Cl.Cl.F.F.N.N.O,Br.C.F.N.O.O,0.59
4,Br.C.F.N.O,Br.C.N,0.56
5,C.Cl.N,Br.C.F.F.O,0.81
6,Br.C.Cl.O,C.C,0.95
7,C.Cl.Cl.Cl.F.O,Br.Br.C.Cl.F.F.F.O.O,0.53
8,C.C.C.C.O.O.O.O,Br.Br.C.C.F.F.N.O.O.O,0.71
9,C.Cl.Cl,Br.C.Cl.F,0.92
10,C.C.Cl,Br.C.F.O,0.52
11,Br.C.C,Br.C.C.C.Cl.N,0.98
12,C.C.F,Br.Br.Br.C.C.F.F.F.N.N,0.73
13,Br.C.Cl,Br.Br.Br.C.Cl,0.51
14,Br.Br.C.C.C.F.F.O,Br.Br.C.C.Cl.Cl.Cl.N.N,0.54
15,C.Cl.N.N,Br.C.C.N.N.O,0.7
16,C.C,Br.C.C.C.Cl.Cl.F.F.N,0.97
17,Br.Br.C.C.C.Cl.F.F.N.N,C.F.O,0.71
18,C.F,Br.C.F.N.N.N.O,0.63
19,Br.C.C.Cl.F.N.N,Br.Br.Br.C.C,0.9
20,C.C.F,C.Cl,0.92
21,Br.Br.C.Cl.F.F.O.O,Br.C.N,0.65
22,C.Cl.Cl.Cl.Cl.F.N.O.O,Br.Br.Br.C.C.C.Cl.F.O.O,0.98
23,Br.C,C.C.Cl.O.O,0.94
24,Br.C,Br.C.C.F.F.N,0.62
25,C.C.C.C,Br.Br.C.C.F.F.N.O,0.55
26,Br.C.C.N.O,C.N,0.66
27,C.O,C.Cl,0.97
28,Br.Br.Br.C.C.F.N.O.O,C.C.F.F.N,0.8
29,C.C.N,C.O,0.8
30,C.Cl.Cl.F.N.O.O,Br.C.C.F.F.N.O.O.O,0.61
31,C.F.O,C.Cl.Cl.Cl.F.N.O,0.74
32,C.C.C.F.F.N.N.O.O.O,C.F.N.N.N,0.65
33,C.N.N.O,C.C.Cl.Cl.F.N.N,0.82
34,Br.C,Br.C.C.Cl.Cl.Cl.F.F,0.83
35,Br.Br.C.Cl.N,C.Cl.F.F.F.N,0.79
36,Br.C.F,C.N,0.73
37,Br.C.F.N.N,Br.Br.C.C.F.F.N.N.N.O,0.94
38,C.C.C.Cl.N.N.O.O,C.C.Cl.Cl.F.F.N,0.78
39,C.O,C.Cl,0.94
40,C.Cl.Cl.Cl.Cl.F.F,C.O,0.96
41,Br.Br.C.C.Cl.F.F.F.F,Br.C.C.C.N.O,0.72
42,Br.Br.C.C.Cl.F.F.O,C.C.C.Cl.F.N.O,0.97
43,Br.Br.C.N,Br.Br.C.C.Cl.F.N.N.O,0.8
44,C.C.C.C.Cl.N.O,C.Cl,0.91
45,C.C.N.O,Br.C.C.Cl.Cl.F.F.N.N.O,0.67
46,C.Cl.F.F.F.N.O.O,Br.C.Cl.F.F.N.N,0.68
47,Br.Br.C.C.Cl.Cl.F.N.N,Br.Br.C.Cl.Cl.F.F.N.N.N,0.59
48,Br.Br.C.N.O.O,Br.Br.C.C.C.C.C.Cl.F.O,0.87
49,C.C.Cl.F,Br.C.Cl.N.O.O,0.65
50,C.C.C.N.N,C.N.O,0.55
51,Br.Br.Br.C.N,C.Cl.Cl.N.O.O.O,0.62
52,Br.C.Cl,C.Cl.Cl.F.N,0.75
53,C.Cl.F.F.F.N.N.O,Br.C.C.Cl.Cl.F.N.O.O,0.86
54,Br.C.C.F.F.N.O,C.O.O,0.69
55,C.C.C.F.N.N.O.O.O.O,C.C.Cl.Cl.F.N.N.O.O.O,0.77
56,Br.Br.C.C.C.C.Cl.F.O,Br.C.C,0.51
57,Br.C.Cl.F.O,Br.C.C.C.F.O,0.61
58,Br.C.Cl,Br.C.Cl.N.O.O,0.8
59,Br.Br.C.C.Cl.Cl.Cl.N.N,C.F.F.F.N,0.7
60,Br.C.Cl.F.F.N.N.O,C.F,0.69
61,C.C.Cl.Cl.O.O.O,Br.C.C.Cl.Cl.Cl.F.N.O,0.69
62,Br.C.F.F,Br.C.F.O,0.7
63,Br.C.O,C.C.Cl.N.N.N.N.O.O,0.92
64,Br.C.Cl.F.N,C.C,0.99
